Utterance,Type,Dialogue Act
Good morning Curtis. Good seeing you again. Go ahead and have a seat. How are feeling today?,T,gt
I am feeling well,P,gt
"Okay, good. So So today's your first visit would be today, were you okay with traffic?",T,"gt,yq"
Yeah,P,ack
Did you find parking okay?,T,yq
Yeah I did,P,ack
"Okay. Okay, I just wanted to interview I know you had some concerns you called me so we're going to go over that today. What I wanted to do first of all was asked you what brings you here today to my office?",T,irq
"I'm thinking about the therapy, now looking into some therapy lessons.",P,id
What what kind of classes are you looking for what exactly?,T,irq
drug and alcohol perhaps,P,id
"Okay. Okay. All right, are you right now today, Are you using any drugs today?",T,irq
very less mostly used honestly at least they go a party with my friends and use a lot like almost on a daily basis but don't do it as much All,P,id
right. What is your number one drug of choice right now? We wait okay now do you smoke with friends by yourself?,T,irq
Yes usually with friends actually.,P,id
Okay Do you find yourself doing it at home or do you go out?,T,irq
my mom doesn't allow so easily go Parks you know after school or something,P,id
and do you feel that that's something that you need to help you function or is it something that you like?,T,irq
just it's a habit and helps you relax and honestly keeps me down,P,id
Do you go smoke weed with other friends or by yourself?,T,irq
"Um, I usually go with my other friends because they were that my influences to begin with.",P,id
"Right Okay, so I mean, do you feel that you need to function or helps you function better Or is it just something that you're just experimenting with? Or what what exactly do you",T,irq
It actually helps me function a lot better. And that was not the right choice or anything like that therapy where I can find ways to,P,id
guide yourself spending a lot of money on?,T,"crq,yq"
Yeah,P,ack
"how much do you spend in a week or what your, your habit like right now?",T,irq
about 200$,P,id
"That's, you know, pretty much equivalent to about maybe 10 to 10 to 15 hours a day.",T,gc
Yeah.,P,ack
"Okay. All right. Well, you know, you know, what we want to do is just be able to help you maybe create some some steps to help you begin to phase out in time, I wanted to pretty much identify the problem and that's the marijuana would you say? Maybe there's events in your life that trigger your use. Is there something that which I wanted to ask you? What are what's your family structure like right now?",T,irq
"Um, you know, I get along with my family I have a foster family who was born was born was kind of separated from my biological family. So he kind of put me in foster care. It was like that since I was two years old, and from two to 13 a little bit my two other siblings.",P,id
"So pretty much should have been raised by your foster parents and your biological parents are not independent. Okay. Now, in your family, how many siblings and your what and what What number are you using?",T,irq
I'm actually the only one,P,id
so do you feel maybe there was added responsibility put on you or do you know that you live together?,T,irq
"There was only two of us. My sister, one of my sisters, and what do we have to do my sisters? We just lived together and I wasn't didn't have full responsibility.",P,"id,crq"
Right. And so your other four siblings? Where did they go?,T,irq
I don't find them,P,id
separate?,T,"crq,yq"
Yes.,P,ack
You were raised by your foster parents And how do you feel about that? And how does that make you feel as far as foster?,T,irq
"I'm just again, my brother when I was in school, and it was a little harsh. A little bit army, but I'm kind of getting over it now. Right? I tried to contact them but it's not working. Right. Yeah.",P,id
"Okay. So they're pretty much your biological sibs. And your, your, your foster parents are pretty much the ones that Rachel those are your parents.",T,"crq,yq"
