Utterance,Type,Dialogue Act
"Hi Amy, ami Denise, ekhane ekta pracharok, center e, kamon acho? Ajke tomar kemon acho?",T,gt
"I'm fine. Thanks. Well, ajke besh ajibon, kintu thik achi.",P,gt
"Yeah, eta to tomar jonno khub bishesh.",T,"gt, gc"
"Umm hmm, ami aro kono kaj kori nai.",P,"gt, gc"
"Tobu, keno na tomay ajke ekta kichu bolen?",T,irq
"Ami o jani nai, ekhane nie ki kotha hobe, tai amra seidin tomader call korechilam. Tai, amra dekhi ami kemon kore tomake dekhchi. Dhonnobad tomar amake dekhate giye.",P,id
"Tai tomake ekta bisheshojog korlei thik hobe, ami ajker din e amar kothar kichu bujhate parbo?",T,yq
"Ha, ha, karon ami jani na ami ki korbo.",P,op
"Ami tomar jonno asholai kichu bolte jachchhi na, na tomar kach theke kono upadesh nite jachchhi, na kono upodesh dite jachchhi. Ami tomar kotha shunte giye tomar kach theke ki ki korar jonno upakar korte jachchhi, tomai amar kach theke kono dabi nei. Tai, eto shob kichu tomar kache achhe je tumi ajke ki korte chaicho, eta kemon lagche?",T,"gc, id, crq"
"Eta khub kathin mone hoche karon ami jani na ami nijei ki vabe sob kichu shaja korbo. Ha, ha.",P,cd
"Tai tomar kache ekhon onek bishesh kichu ghotchhe, ebong tomar kache kotha theke suru korbo ta bujhte parcho na.",T,crq
"Ha, etai bhalo bhasha. Ami ektu bhulchilam ami ki korbo bhabte. Ar ami ekta chhoto bachcha niye ghar e ache, tai ami kokhono mone mone mone kori na.",P,"cd, id"
"Ha. Tai abar jekono nirnay tomar, ar kichu o jeno, tomake, ar chhele ke ekai kore prabhavit kore.",T,crq
"Mm hmm. Ar, ar amar boyfriend, tar kach theke prabhavit. Tai tai ami mone kori, ami etai kotha bole tomar sathe ar amar chhele ke nie amra ki korbo, amra kivabe milai.",P,"cd, id"
"Tobu, jodi tomar ichha thake, jodi tomar ei avashyak, tahole ki tumi amar kach theke tomar golpo bolte paro?",T,irq
"Ami jani na kothay suru korbo. Amra ek shonar pore suru korilam. Ar ami baro ekta baby hachi. Ar age ami kaj kortam. Ar, tar pore ami o kono kotha na. Ar, tar por o ami ekoi hoilam. Baro ekta baby hachi. Ar ami tar age baro kaj kori, ar tar poreo amra ektu-e kaj kori. Ar amra, tomra o amra, amader invite niye kaj kori, ar tar pore o kaj korte jay na. Ar ei rokom kotha korchhe. Ar ami ektu-e ektu, beshi confuse hochhi. Karon je ki korbo etai mone hoi na. Ar ektu somoy dhoroner kotha mone hoi na.",P,id
"Tai, ei ek bochorer poribortone ami ekhane oi matro tomar sathe hoyechhe na, kichhute kichhu jhogra hoyechhe, tar por kichhute kichhu shomoy alada hoyechhe, ar firbe mile thakchho. Kintu to, ekta khub important bishoy chilo je kichhu ghotchhe je ektu bhir. Shobai, tomra, chhele, ar, to, ar ki kichhu, ar eta bishesh kotha holo, ar eta kotha khuje ber kora thik chhilo.",T,"crq, gc"
"Mm hmm. Ha, oi ghor e aschhe, ami chilam resume niye ekti maner friend chilo amar. Tar por amader mukhe chhilo ektu-beshi onno rokom er akta bhabna. Tai ami protibar-o ami bhalo kori. Ar, chhobishotty, eto bhalo na holo. Ar tomar chhokra ta jeno or kichhu kichhu hoyechhe na. Ar chhokra ta o tai bhalo chhilo, karon o ekta bhalo baba. Ar or onek somoy or sathe onek kichhu kore. Ar amra kichhu kichhu korlam.",P,"cd, id"
"Tai ei rokom ekta kotha tomay or or sathe shobkichhu bole onno kore. Ekmatro tomake na, to, tomake, ar tomake, ar tomake jokhon dhorechilo, tai, to, ora or, tai, ki korbe eta khub bishesh.",T,"gc, irq"
"Ha. Ha. Ar o or to, o, o, or tomake onek help korte chhilo. Ar, o, oke niye amar ekti bishesh somoy ekti bishesh bhoy hochchhilo. Tai, etai mone hoi, je oi, etai mone hoi je oi bhabna theke ami ekjon ke call korlam.",P,id
"Tomar mone hoy ki, tomar jonno ki kichhu opshon ache je tomake korte paro, jodi kichhu, tomar mone kono kotha ache, tomar mone ki ache?",T,irq
Ami ek bochor er jonno keo kotha bole nai.,P,id
khub akela hoye gechhen?,T,crq
"Haan. Haan, ami amar maa baba khub dure thake ar ami bhabte parchi je, je, kono rokom er ekta boyfriend ar moto ache, keu keu kache ache na. Tini mone kore obak. Tini amader niye kheyal rakhe. Ar tai ami abar kaj korte chai. Kintu tini bolche ami kaj korte dorkar nei, karon tini amader niye dekhte hobe. Tini diaper nie ashbe, tini taka debe jabar somoy. Tai shomoytar beshi kichu dorkar nei.",P,"cd, id"
Tai tumi kaj korte niye mon bhorechile kintu tini bolchen je tini tumader niye dekhboi niye rakte ichhuk. Ar jabar somoy tini tumi niye rakhe.,T,crq
"Haan, haan. Tini amader niye dekhe ne. Tini amar jonne eto taka debe je gharer basis kichu dorkar nei, rent ta tini dei. Kintu jabar tini thake na, tokhon taka shesh hoye jai, tokhon amar mone hoy, ami kichu nite pari na. Ami khubichh kibhabe korbo bujhte parchi na.",P,cd
Tai jabar tumi taka nite na pawa tumi khub paristhiti te porte pare?,T,irq
"Haan, ami jani. Ar ami jani je etake k k bolar, ami bujhte pari na. Kadom kore tini keo keo ke niye kotha bolte chesta korchi. Kabhi kabhi tini tini upare kotha shunte.",P,id
"Tai jabar tumi taka na pawar shomoy, tumi ki kore tumi cheshta korte barte kintu k?",T,gc
Haan. Haan. Tai ami bujhte parchi na. Ki kore korte hobe bujhte parchi na. Ami ete khubi bhalo na.,P,gc
Ami eta bolte chai je amra kuch kotha dekhte parbo jeta shomvob hoite pare je tumi ar kotha bolte chaile bujhte parbo. Kintu ami etar dike tomar kotha bojhar jonno khub kritoggo. Eta kothin kotha. Ar tomar etake niye kotha bolte tui ekti shanto kotha. Ar etai bujhar jonno ami tomake beshi dhonnobad janai.,T,gc
Dhonnobad. Eta khub kathin.,P,gc
"Haan, ami jani. Amar kache ekadhorer meye guli etai ekta shomoy dekhe, jara arokomer paristhiti te ache tader ekta kotha dekhte. Ar etar upor amra kotha bolte parbo jeta shomvobho hoite pare je tui aar kichu bhalo kore korte parbi ki na, ki korbo.",T,gc
Thik ache.,P,gc
Ar amader jonno kichu kichu kotha ache je amra kotha bolte parbo je je kotha tui bujhte parbi eta diye ki korte parbi ki na. Amra nishchoy amra ei bishoy ta niye kichu kotha bolte pari.,T,"gc, id"
"Haan, thik ache.",P,gc
"Haan, haan, ektu ektu notun notun maader jonyo etai khub kothin sob kichu rokomer sthiti te nijer kotha rakhar ekta rasta pawa, aar nijer bhalo theke rakha uchit. Tahole ekhane toh amra oi bisoygulo niye kotha bolte parbo. Aar erokom ar kichu bisoygulo tomar chele meye ke niye khub ujjwal kore rakhar bisoygulo aar tomai ektu ki, ektu ki ki bhabe dhyan debo aar eisob sthiti te? Shuru korar jonno, tomar ki vabcho?",T,"gc, id, orq"
"Eita hasi ki, ami eta dekhte pelam, ami mone korchi, ami shudhu shudhu baby er opor focus korechi aar ekti bhalo ma hote cheye and, and, aar ami oshudhur ekta kaj korte chai kintu ami janina ei duto kivabe ek sathe fit korbe. Aar ami eto bole jetuku jete parlam. Ami nijer kotha bolchilam jodi. Jeta ekta bhirbhum. Jeta ekta kajkor bondhu, ma o shishu niye boshonto o shongbad sohoje. Aar eta prothom shob, ami eta sob somoy mone kori aar ekhon ami na.",P,"od, id"
Tai shayad tumi toh onek somoy toh tomake bhabar somoy nitei thako tomar sambandhe aar shomoy ghorate kintu shomoy ki. Aar ekhon toh tomake mone hoy kintu ami kichu aro bisoygulo vabe dekhe dekhte pari ja amra kotha bolte pari.,T,gc
Ei kajgulo jodi kaj aar bhalo ma howar niye chinta korte pari sheta paribarik sambandher jonno kaj karar jonne shayad ei je.,P,gc
Tai toh tomar upor ekta dhyan dite parbe kibhabe tomar nijer kotha rakhar jonne kibhabe kaj korar somoy ar shishur niye samay dekhar somoy kibhabe shayad ota tomar shomoshar jonne kibhabe tomay mukt korbe aar sei shomoshar kemon karbo niye tomar kotha bhabar somoy?,T,"gc, crq"
"Sambandher sathe ki korbo? Haan, sambandher sathe ki korbo? Ami sure na sambandher sathe ki korbo.",P,cd
Haan. Tumi jano tumi kivabe tobe amra niye ja hobe tao tomar kothay.,T,"gc, id"
"Ami eitao mone korina ki vabte hobe. Ami jani na kivabe. Haan, ami mone kori ami kono nirnaye nei.",P,gc
"Haan. Aar eta shuni toh tumi aro kichu khetre kichu nirnaye nite icche korecho. Aar, eta bhabar somoy, eta thik? Ki bolcho tomai kichu kajer chinta korar bishoye?",T,"gc, yq"
Haan. Aar erokom ektu ma hote thakar sathe ki boshar bishoye kibhabe toh eta toh kintu bhalo bhalo lage.,P,op
Tumi pele tumi ekta kajer shomoy por theke chakri kora bishoye vabei ki bhabe shayad jodi baby rod hoy jibon ta ki hobe? Aar eivabe bhabte giye ki mone korocho?,T,"gc, orq"
