Utterance,Type,Dialogue Act
"Hi, Sasha, tumi aaj kemon ach?",T,gt
Ami thik achi. Jijnasha korar jonno dhonnobad. Ami bujhte parchi je kichu upasorg niye apnar kichu asubidha hochhe. Thik?,T,"gt, yq"
Hyan.,P,ack
Aapni ki amake bolte paren ki hochhe?,T,irq
"Hyan. Atit, atit, hayto koyek shoptoh, ami koyek shoptoh onuman kori. Ami kormokhetro shopto ekbare ei shokaler meeting kori ebong amake ekti uposthapona korte hobe. Ebong protibar ami uposthapon korte jai, eti amar pala ebong ami pete shuru kori. Sotyi narbash pete shuru.",P,id
Sotyi narbash pete shuru koro. Kajei apnar shokaler meeting. Ebong tai meeting e uposthit protyek bokti ekti shari moto?,T,yq
"Hyan, hyan, amra sobai ghure asi,",P,ack
"Tara pala nebe. Ebong jokhon apni narbash bodh korte shuru koren, jokhon eti apnar kotha bolar somoy ba tar age ba pore ebong eto",T,crq
"Ami sadharanot meeting er shurute ekjon lok, karon ami jani amake korte hobe, amader modhye prai 10 jon ache ebong ami shobdo shokoler shesh koyek joner ekjon bole mone kori, jemon shohor bo sath jan, uposthapon er jonno line e dharoner",P,cd
"Meeting e prai 10 jon bolchen. Hyan. Ebong ebong bhagyo eti hobe, apni shesh dik theke hote thakben. Tahole apni ki barna korte paren meeting er shurute apni jaa onubhobh korchen tar poriprekshitte ki ghotoche?",T,crq
"Hom. Jokhon ami bhitore jai, ami sadharanot thik achi ebong apni janen, sobaike subho shokal bolun ebong tarpor amar boser kolo mane order. Ebong je sadharanot jokhon eti shuru hoy, jemon dharoner shuru hoy, hayto amar pete projapoti rokom. Ebong tarpor tini tar report korer por, ebong tarpor eti keboli ghore charpase jete shuru kore ebong amar hridoy dhurto hote shuru kore, amar hater talu ghamte shuru kore ebong ami keboli, ami sotyi narbash bodh korte shuru kori. Ami bujhte pechi je ami hayto onno kichu uposthapona korte shuru korechi. Karon ami, ami kemon anubhob korchi setike monoyoggi hote shuru kori.",P,cd
Ebong ami narbash hoa sharirik somvedon ebong monsik somvedone upor focus korechi ebong tara jaa bolche ta apni sotyi shunte pachchen na.,T,yq
"Hyan,",P,ack
"Tara bolche,",T,gc
"Hyan,",P,gc
"Thik ache. Tai jao. Tai ei apnar ei sharirik lakshan, ei narbashness, ki hoy ebong",T,crq
Hyan,P,cd
"Jokhon eti amar uposthaponar pala, ami shuru kori. Ami shudhu, ami prai thik prai jhakuni moto achi. Hyan, ami lokkho korchi je amar hat ekta bondon ache. Ebong tai amar hat niche rakhoon, jemon amar koley ebong thik je. Ami chai na keu tader eibhabe kampte dekhte. Ebong ami amar samne ekta kago aache je theke ami shudhu dharoner pora. Kintu jokhon ami pora te shuru kori tokhon amar konthoswor kichuta nordo hoi, ebong ami ekdhoroner totolatam ebong amar kothay chitke pori. Ebong ami mone kori ami valo uposthapona korchi na ebong tarpor eti amar boser kache bhalo dekha jache na.",P,cd
"Tai, sei momente jokhon apni apnar uposthaponar pala, apni ekhono sei ekoi narbashness onubhob korchhen je tekebare duur hoi na. Ebong apni apnar sharirke sthir rakhar chesta korchhen. Pray ekta ghonokhetro nionto koro moton.",T,orq
Hyan.,P,od
"Haan. Ebong tarpor apnar kanthoswor ei dhôrône krôkôli ba break up moto shôbdo apni like theke porar chesta korchhen, chaan moto bullet point?",T,yq
"Haan,",P,ack
Ekti ruprekhā moto?,T,crq
Haan.,P,cd
Apni jokhon shesh pothit shesh pointi porechen tokhon ki hobe?,T,irq
