Utterance,Type,Dialogue Act
"Hyan, apani satyi bujhte paren je tara kotha theke aschen apani satyi kashter bati bojhena.",T,id
"Hyan, ami anuman kori je eti emon ekti ansha jekhane eti amar pokshe eto kathin, ami jani je ami manusher jonno anek kashter karan hoyechi.",P,id
"Achha, asun, er bisoye kotha bola jak. Sutang apani achhen, apani emon ekti avasthane achhen jekhane apanake manusher jibon sambandhe kichhu siddhanto nite hobe. Aro kono kono sei siddhantagulir fole lokera paribar theke bichchhinno hoye pore. Kono kono taran na. Apani ki satyi karan? Bor chobite? Apani ki satyi ei paribarguli bhenge jawar karan?",T,irq
"Ami anuman kori na je eti tader kriyakalap, jodi tara sotik jinisguli korto, emon kintu jodi ami tader bachchader madhye ashtam tobe tader sariye dewa hobe na. Kintu ekhono sei triggerke tene ana kathin, apani janen.",P,on
"Thik achhe, puro prokriyar sheshe apanii tatkkhanik karan, kintu asal karanti apanar sekhane pounhano r koyek bosor ba mas age ghatechhil karan lokera emon siddhant niyechilo ja tader santander jonno tader pakshe sera chilo na. Sutang apani satyi aschen, kichhu pariman e acharangat porimander ekati dirgha sirijer lej shesh.",T,id
Hyan. Seta satya.,P,op
"Shesh porjonto, ei paribarer jonno ja apanake emon chakrer karan hochhe ja nie apani chintit. Dirghameyadi dairghye dikhe takiye, apani ki mone koren bachchara bhalo? Karan tara ekhon paribarar sanghe nei?",T,irq
"Ami bolte chacchi, jodi tara ekti bhalo paribarer sathe thake, ja apani janen, sadharanot tara kore. Eta, eta tader jonno valo, apani janen, eta hayto baba-mayer jonno ekta jege othar kol hote pare, athoba jodi na hoy, antat bachchara tader chahida metache ebong serokom jinis pachche. Eti sambhoboth bachchader jonno satyi kathin ebong tara sambhoboth tader pitamatar kache fire jetey chai. Kintu ami samagrivabe mone kori, ami eta korbo na jodi ami na mone kori je bachchader jonno emon jaigay jawar sobcheyo valo hobe jekhane tader jotno neowa hobe.",P,id
"Tai ovilambe, kichhu byatha achhe karan apanake paribar nite hobe tobe dirgho somoy. Sambhoboth ekti bhalo pholaphol ache. Emonkon er sathe, jodi, asun ekti kharap siddhant neowar bisoye apanar udveg sambandhe kotha boli. Sutang apani ja borma korchhen tar upor bhitore kore, apani ki bishwass koren je eti asle ekti kharap siddhant chhilo?",T,id
Ami anuman kori na. Eta thik moto mone hoy.,P,on
"Hyan, eta mone hoy. Ebong eti ekti kathin siddhant chhilo. Kintu pramaner ojone ta dekhchi. Hoyto apani upolobdhi korte paren je apani jodi somoy fire jan tobe apanake eki jinis korte hote pare.",T,id
Hyan. Han ami tai mone kori. Ebong ami nishchit nei je onno keu ekti bhinn siddhant nite pare.,P,op
Tai apani satyi apanar ja kora chhilo. Karan tader jonno ekhono ekti byatha upadan ache. Apani chheda bodh korchen. Ebong apani abar ei madhyame jetey chan na?,T,id
"Na, mane, ei anubhuti noy. Kintu ami amar kaj chaliye jetey chai.",P,on
"Kintu emon ekti prithibite apanar kaj kara jekhane apani ekti bhul korte paren, eti akarshaniyo noy.",T,crq
"Hyan, ami bolte chacchi, ami anuman kori ami sob somoy janatam je ami bhul korte pari, kintu eta ekhon satyoi bastob mone hochhe, amar dharona etai parthokyo.",P,cd
"Sutang ei bishesh udaharane, apani ja bolchen ta bhul balo mone hochhe na. Asun emon ekti parishtiti bibechona korun jekhane apani ekti bhul korechen. Je sobcheyo kharap khetre hobe, tai na? Amra jinisgulike sobcheyo kharap parishtitite niye jachhi. Thik achhe. Ekhane apanar bhoy hol je ek arthe, itimadhye je ghotechhe ta nirbishese, samne jetey, apani ekti truti karar jonno dukkhit haben. Karan ei byatha apani ekhon anubhav korchen. Shudhu ekti poribortonshil ja apanar jonno sobkichuke bishringkhalar madhye fele diyechhe.",T,id
Ami anuman kori je apani satyi sobcheye boro bhultti korte paren ta hol kichhu apabohar ba ei jatiyo kichhu mis kora.,P,id
Ebong tarpor keu aghat. Thik achhe.,T,id
