Utterance,Type,Dialogue Act
Ami khushi je tumi ajke eshechho. Aaj tumar kemon cholchhe?,T,irq
"Umm ami shudhu shongkhyo korchi, je last few months dhorei eito. Ami kichu bhalo hobar opay pai na. Ami akhono khub down feel korchi.",P,id
"Ebar last week-e je tumi amar shathe kotha bolar por, job-e chot kheye felechho, job harayechho, toh tumi ei bhabe prochondo kichu korte ichhe korochho na, shob kichu korte ichhe korochho na, shudhu shute thakochho. Ei kemon ekta dhoroner inventory niye ami mone korlam, opekkha korechilam, tobe ami dekhlam je tumi khub severe depression-e acho. Tai mone hoy ajke amra ki korbo, jodi tumi mane tobe? Ami ekta therapy try korte chaitesi toh, jeta tomar depression-ke address korar jonno. Eta bole cognitive behavioral therapy. Jodi tomake ekbar shune thak,",T,id
Mone hoy naam shuntechi.,P,ack
"Ok. Ok. Ami tomar jonno ekta chhoto chhoto byapar kotha bole debo, dekhi jodi amra ei therapy-ti kaj korte pari tomar depression-ke theke uttejonar jonno. Ami mone kori ei depression tomayo khub beshi areas-e influence korche. Kaj-e jaoar, relationship-e jaoar, shob kichu. Shudhu abar depression-er upor focus kore achhi abar. Tarpor ami chhilam mone je, depression-e jodi tomay ki feeling hoy, jodi tomay ki mone hoy, tomar kotha, tomar feeling-gulo, et cetera. Tarpor etar kichu upkaran tomar jonno diye dite chai, mane ei shoptahike ghar-e niye jete paro, tomar depression-er bisoygulo, tomar bhabna, tomar feelings, et cetera niye kotha bolte. Opekkha kori tomar jonno shoptahik hobe. Ekhane kichu vabe vabe mone koro. Shudhu etai aajke amra kore jete pari",T,id
Ami kichu-o try korbo.,P,id
"Theek. Theek. Eto shudhu tomar try korte ichhe-ta boro kichu part-e. Tomar ichhe to try korar oshukh-e cognitive behavioral therapy te karon tomake better hote ichhe kore ami khub boro bishesh kichu. Ami tomar jonno cognitive behavioral therapy nie kichu bolte chacchi, sometimes CBT bole, sudhu shorthand-e, eta individual-er situation niye kaj kore, jeta individual-er mone eshe jay, sheta kivabe tader feel korche, tarpor tara shei feeling-er jonno kivabe respond korche. Ok, toh chalo ekta udahoron nite chesta kori. Tumi amake bolo, last time tomake ki depressed lagechhilo.",T,"irq,id"
"Dekho shayad ei siddhanto tai sobujokale,",P,id
Ok. Ki chhilo kichu ekhane sokal-e?,T,irq
"Tumi jano, ami shudhu uthechhilam. Mone hocchhilo 10 ta belai chhilo kintu shudhu uthte parini.",P,id
Theek acho. Tomar mone shobcheye prothom mone keno ashlo?,T,irq
"Mone hocchhilo prothom e mone hocchhilo, tumi jano, keno uthte hobe? Amar jibon chhilo na. Amar kachhe khub kam bondhu ache na kichhu kaj ache na. Shudhu keno uthte hobe bela ta.",P,id
Tumi nijer barite kivabe bhabte chao?,T,irq
"Shamman jonno shomman bhalo lagche na. Amar mone hocchhe na ami kichhu mahatta rakhchi, bhalo lagchhe na. Ami khub kharaap lagchi, kharap",P,id
Oi bhabnay shudhu tumi ki korbe? Tumi uthe gele na ki uthe ghumi theko?,T,irq
"Ami uthe niyechhilam, ami ekhane elo porjonto, ok.",P,id
"Amader mone hoy tomar uthe othar jonno abhinandan korbo, ajke elo tomar jonno ota boro kichu.",T,id
Thank you!,P,gt
"Apni shomoy bar kichu bhabe anurag korechen, akta bedoner obosthay?",T,yq
"Ha, besh beshir bhaag shomoy to tai bodlei e jeno amar bhaabona.",P,"id,op"
Tipikally apnar uttor sheta obosthaye bed-e thakte?,T,yq
"Bujhte parchi. Ha, ami to aralay achhi, tahole ki, ha, ami berote hobi na. Ar ami to mane, kichudin dore sofa-te boshe boshe mone mone bhabtei thakum na jeno tara amake pachhena, tarpor ami sudhu boshe thakum.",P,"op,id"
"Eita bolun, Tommy, apni onak diner jonno depress thakle mne hoi?",T,irq
"Ha, mane accident ghotle er age, kichudiner jonno khub vabe. Amar cheler, meye-gulor sathe, khub somoy katse.",P,id
Ektu ektu bolben oi diner kichu kichu somoygulo nijerke mon bhore jibon chhilen accident er agey kono depressing bhabe.,T,irq
"Mane, praatte bed-e boshe achi, amar bachcha-gulor doura dourite, amake uthte besh irritate kore, kintu mane, tara eto koreo ami khub bhalobashi. Utthe chhobi banai ar boro boro breakfast kore. Jodi holiday hoy, tahole amra kichu anondo kora, park-e jai ar movie dekha jai ar kichu.",P,id
Apni takhan kemon bhabchilen? Ovabei janlen kivabe bhabchilen je ognishomoy jara obosthagulo ghotchhilo?,T,orq
"Ami sudhu bhalo bhabte parchhilam, kichu bhoy ney. Amar bachcha-gulor prem pae, ar ami tader prem kori. Ei rokom ektu priyo lagchhilo.",P,od
"Eta to bhul chhilo na ki, aparne apnake proyojon chhilo ar apni bhalo bhabe anurodh korlen ar apni tader jiboner ekmatro hisse shobday bhaablen.",T,od
"Ha, nishchit.",P,ack
"Tai kono somoy jabona, bed theke uthte na paoar e jotil obosthaye, ki mone hoi apni nijer upor kemon bhabe bhalo bhasha gachhen?",T,orq
"Ha. Ha, ami mone hoi oi rokom cheshta koreni. Ha, tai try korte pare.",P,od
"Tai shomoy jabona, couch-e boshe thakar somoy, bed-e uthte parar moto mone hoi, apni mone korben je apnar jibon e aar je somoygulo chhilo, apni onno rokom e bhabe bhabte chhilen. Ar apni aro ekta obosthaye anondo peyechhilen.",T,id
Ha.,P,ack
Tumi kamon lagchilo kaj kore? Kajer shomoy tumi nijer bishoye ki bhabei bodh korechilo?,T,orq
