Utterance,Type,Dialogue Act
Apni jokhon karmokshetre thaken tokhon apni samajik paristhiti te kivabe asben ta niye apni onek chinta koren.,T,gc
"Hyan, sotti'i ami ke sotti'i udvigno bodh kore. Like, ami dekhte kemon ebong manush ki bhabe.",P,gc
"Hyan, apni bolechilen je apni udvigno je apni drishtite kampchen.",T,crq
Hyan.,P,"cd,ack"
Aro kono jinis achhe ja apni udvigno je loke ra lokkho korbe?,T,irq
Ami mone kori spashtotai kampche ami mone kori amar hat o pa kampche ebong sotti'i lal hoye jache ebong ghamche ebong kebol durdanto dekhachhe. Egiye gele gal.,P,id
"Tai mone hochhe apni jokhon ei samajik paristhiti te thaken tokhon apni nijke kivabe dekhen se somporke apnar besh shaktishali monsik chitro royeche. Hyan. Tumi poro te jao bole tumi kamp. Apni ki mone koren je onyo kichu ache? Mane, nijke barno koro. Apni kivabe mone koren apni dekhte, apni jokhon ei paristhiti te achen, shudhu.",T,irq
"Jemon, ami mone kori ami sotti'i spashtotai adbhut ebong jaygare baire dekhechi ebong sotti'i porte porate parchi na ebong manusher sathe sotikbhabe jogajog korte parchhilam na.",P,id
Ebong ei somoshyaguli porichalona korar jonno apni ki ei jinisguli theke raksha kora'r chesta ebong dhoroner kichu korte paren?,T,irq
"Ebong ami anuman kori jokhon ami camera'ti dhore rakhi, ami etike sotti'i ankore dhori, sotti'i shokto, ba amar peshite ekdhoroner ankore dhori ebong eto kichu khujte pai ja ami focus korte pari. Ebong dhoroner chesta ebong nijke kom jhakano ebong lal ebong staff jay na.",P,id
Sutro angulay achhe apni eto kichute focus korun ja apni sei camera'y ankore dhorechen. Apni ki manusher sathe chokher jogajog koren?,T,"crq,yq"
Na. Ami shudhu niche dik'e takate chai.,P,"cd,on"
"Thik ache, tai apni chokher jogajog aediye cholon? Gham niontron korar jonno apni ki onyo kichu koren udahoronshorup,",T,crq
"Ami jemon niche dik'e takate pori ebong kalo poshak porte pori, tai eti kom sphototai ebong ki dhoroner udvegojonok? Hyan, aro srot ebong somosto kalo bole apni bolte paren na.",P,"cd,id"
Thik ache.,T,ack
"Apni jodi ei jinisguli kora bondho koren tahole ki ghote be bole apni mone koren? Apni jodi camera'r upor ankore dhora bondho koren? Othoba, apni janan, apni chokher jogajog shuru koren ebong niche dik'e takan na? Ebong apni ki ghote be mone koren?",T,irq
"Ami mone kori eta onek kharap hobe. Hyan, ami mone kori ami kebol aru beshi poriksha korbo ebong aru udvigno hobo ebong aru spastotai, adbhut ebong jaygare baire dekha.",P,id
"Ebong ami ei shomosshaguli mone kori je apni jodi ei jinisguli bondho koren tahole ki hobe se somporke apnar chintabhabna poriksha kore amra jodi ekta poriksha kori tahole apni kemon anubhab korben? Amra jodi emon ekta bhumi porinno kori jekhane amra karmokshetre ekta paristhiti tairi kori, thik ache? Ebong jodi amra eti dobar ebong protombar kori thaki, apni shodherno je somosto kaj korchen, thik ache ebong kichute ankore dhoren, niche takan. Ebong onyo kichu ache je apni jokhon ei paristhiti te achen, ei kaj kothopokathon chesta ebong maniye nite.",T,irq
"Ebong ami sob kichu thik thotkata pori ebong thik klencher moto, jai hok na keno, ami aslei shokto kore dhori achi ebong nishchit korchhi je ami ekebarei chokher jogajog korbo na, shudhu ek dhore pete er madyame",P,id
"Thik ache, tai protombarer moto, ami chai je apni sei jinisguli joto koren apni somporke jevabe chao koren, asole, sombhoboto apni somporke shobcheye kom korechen.",T,ci
Thik ache.,P,ack
"Ebong tarpare dwitibar, ami chai aponi ei somosto kajguli eksathe kora chhede din.",T,ci
Thik achhe,P,ack
Eta ki thik shonachchhe?,T,yq
Amar jathashotho chesta korun.,P,ack
Ar tumi ki? Apanar kemon lagbe jodi amra etike chitrayito kori jate aponi dekhte dekhte kemon chhilen?,T,orq
Thik achhe.,P,"od,ack"
Apanar kache ki camera ache jetite amra bideo korte pari?,T,yq
Hyan. Ebong amar phone ache. Thik achhe.,P,"ack,id"
"Hyan, hyan, amra eti matro ek second e byabohar korbo.",T,gc
Thik achhe,P,ack
"Amra eti korar age, tarpor amra ei formti puron korte jacchi karon amra akhon ja korchi ta ektoi poriksha. Amra etike acharongot poriksha boli, dekhun apanar acharoner doron poriborton hole ki ghote?",T,irq
Thik. Thik achhe.,P,ack
