Utterance,Type,Dialogue Act
"Hi, Laura, dhonnobad asar jonno.",T,gt
Hi,P,gt
"So I'm not sure koto tomake eikhane ki bujhe acho, if it's okay, ami tomake ekta choto rundown debo.",T,gc
Haan,P,gc
"So basically, eikhane ami thakbo, just going to talk to you for a little bit about sort of what your goals are for your life, get to know you a little bit better and talk about some different behaviors that you might be engaging in. Ektu bujhte parchi ami tomar kache judge korte na, or try korte na to change you, you know, basically, I'm going to talk to you about how things are going, any changes you might want to make in your life, how I could help you with that, and just what I can do that's going to be most beneficial for you. Okay. All right. So I guess just to get started, can you tell me a little bit about yourself?",T,"gc, irq"
"Well, amar naam Laura. I'm 17 years old and I'm a senior in high school. Okay.",P,id
And Tui jiboner jonno ki plan korish?,T,irq
"Well, hopefully college jabo, good enough grades pele.",P,id
That's great. Tui plan korish kothay jete chai? Or?,T,"ack, irq"
"I'm not sure yet. Maybe kichu schools ei area te, or maybe out of state e apply korbo.",P,id
"Oh, Cool.",T,ack
College e jete ichhe korchhe.,P,gc
So kind of apnar options open rakhte chai.,T,crq
"Yeah, definitely.",P,cd
Great. And ki kore study korte ichhe korchho? Or?,T,"ack, irq"
"Yeah, maybe I'm pre law.",P,id
"Oh, wow. Okay, that's exciting.",T,ack
Yeah.,P,gc
"All right, cool. Tui fun korar jonno ki kore?",T,"ack, irq"
"Well, weekends e, I like to hang out with my friends. Maybe ekta party te jawa, or mall e shopping kora. Or school er related event e jete ichhe hole, football game or something like that.",P,id
Ahmmm,T,gc
Yeah.,P,gc
Masti korar shokh?,T,crq
Haan.,P,gc
"Ar tumi kemon friends er sathe acho, anek jon naki kichu kachhe manush?",T,irq
"Ami bolbo, moderate amount e acho. Ami khub famous na, na ami kono friend nai. Ami toh normal.",P,id
Tai thik bhabcho.,T,gc
Haan.,P,gc
Theek ache. Sunte laglo je tomar jibon ekdom bhalo cholche. Tomar grades kemon cholche?,T,"gc, irq"
"Bhalo ache, A's and B's, tai ami thik achi.",P,id
"Okay, bhalo. Ektu janbo, tomar jonno kon kon gulo boro important?",T,"gc, irq"
"Um, family toh definitely. Friendship ar belonging o.",P,id
Okay. Tumiar family er kachhe ki important?,T,"ack, irq"
"Ami tader khub bhalobashi, tai ami chao tara amay bhalo mone kore ebong amakei bhalo mone kore.",P,id
Okay. Tumar kono bhai bon ache?,T,"ack, yq"
"Haan, amar akta bon ache.",P,"op, id"
Bhalo. Ar friendship kemon?,T,"gc, irq"
Friendship. Ami anek manush er sathe bhalo bandhutyo korechi. Tai ami chao tadero amay bhalo mone kore.,P,id
Bhalo. Tai bhalo friend hote ar bhalo friend thakte o toh bhalo. Ar belonging kemon? Tomar kothay toh setao bollechish.,T,"gc, crq, irq"
Haan. Ekta sense like fitting in ar ekta acceptance er jonne.,P,"cd, id"
Haan. Kichhu gorupeer chhoray theke thakte ichchha nei.,T,crq
"Haan, kichhutei.",P,cd
"Theek aache. Bhalo. Aar ektu kotha bolar katha hocche, tor arokom bollecho je tomake bandhuder shonge berate bhalo lage ebong party kore, ei rokom. Aami ato tader shathe jokhon party te, tomake ki shobuj sharaab pete dekha gelo?",T,"gc, yq"
"Umm beshi na, shayad ek ya dui ta drink maximum.",P,"op, id"
"Theek aache, tomake bolo to sharaab tor bishal social scene e kivabe thake?",T,irq
"Beshi to bhab kore na, basiye rakhi drink ta, je, lokgulo sharaab pete dekhbe ebong shayad amake sharaab peye kotha bole, kintu ami peeni na. tai, bhalo lage drink ta niye basi.",P,id
"theek aache, lokgulo theke tomake pressure paoar jonno tomake amar protibad beshi holo ar drink niye bhalo lage",T,"ack, crq"
ekta drink niye basa ebong jaan dekha o bujhate chai je tomar drink ache.,P,cd
Theek aache. Ora ar koto kichu frequency te eta hochhe? Shamne tomar koto dinta tomake lagbe sharaab?,T,"ack, irq"
ek ya dui weekend a month. Sab theke besi na,P,id
"Tai ek ya dui weekend a month, sharaab er situation e thako?",T,crq
Haan.,P,cd
Theek aache. Ar tomar kisam rokom situation e thako?,T,"ack, irq"
"Ei, bus! Oboshho, je ki, ekta party te thaklam. kauke ghar naki. Yaar ghar naki. Ora uthai basha baarite. ya jodi party na thake, toh beshi chhoto social ekok ki? Khelar mukh obosthaye, beer ta eto.",P,id
Tai shudhu shudhu bondhuder shathe time katte.,T,crq
Oboshho Haan.,P,cd
Tomake kothay kotha giye?,T,irq
"Oboshho, ektu boddo aasche na, kintu kabhi kabhi aashe je tomar beshi bondhu er ghar e giye, taar family er kachhe achi. Tai toh jaane, just hang out korbo.",P,id
Ar gaadi chalate ki?,T,irq
Sharaab peye gaadi chalate?,P,crq
Haan. Tomake kono sharaab poriya jaayga jachchhe?,T,cd
"O bishesh, na, ami sharaab poriyechi na. Ar naami ekta gaadi te sharaab peye chalano hoyeche.",P,id
Tai eta tomar ek decision.,T,crq
Karon ami jaani ata atyanto khatarnak.,P,cd
"Theek aache, tomar ki bujhte parchho eta kivabe khatarnak?",T,"ack, irq"
"Oboshho, sharaab niye tomar judgement ke prabhavit kore. Tai, sharaab er prabhav e gaadi chalano durghatona te le aste pare. Tai, ami oi obosthaye thakte ichchha kori na.",P,id
Tai tomake khuboshthi korche je tomar nijer kachhe aste raakhte?,T,crq
Haan.,P,cd
