,Utterance,Sub topic,ID,Type,Dialogue_Act,Emotion,Transliterated
0,"Alright, Hi Sandra. Well, we have about half an hour together to sign and how are you feeling right now? What's your awareness? There's a bit of a kind of the situation is different from last time.",symp/reasoning,197_0,T,gt,,"Thik hai, Namaste Sandra. Toh humare paas lagbhag aadha ghanta saath hai sign karne ka aur aapko abhi kaisa lag raha hai? Aapki jaankari kya hai? Pichli baar se halat thodi alag hai."
1,"No, I'm still feeling the same. just just just a little frustrated at the moment. That's all.",symp/reasoning,197_1,P,id,,"Nahi, mai abhi bhi wahi mehsus kar raha hu. Bas bas, thoda thoda pareshan hai iss waqt. Bus yahi hai."
2,What is it the frustation like for you?,symp/reasoning,197_2,T,irq,,Tumhare liye yeh frustation kaisa hai?
3,"It's just tight feeling that I have I just experienced, it's difficult to put into words but just it just doesn't feel good.",symp/reasoning,197_3,P,id,,"Yeh bas ek tight feeling hai jo mujhe experience hui hai, usko shabdon mein bayan karna mushkil hai, lekin yeh sirf khush nahi lag raha."
4,So let's shift it to body where in your body you feel this type feeling?,symp/reasoning,197_4,T,irq,,"Toh chalo body mein shift kar do, jahan aapki body mein aise hi feeling ho rahi hai?"
5,"I think it's, it's in my chest. ",symp/reasoning,197_5,P,id,,"Main soch raha hun, yeh meri chaati mein hai."
6,"So that's a hot area, feeling around the heart. And what is there in that heart and you pay attention to that, that area in your heart? What What do you find? What sort of thing?",symp/reasoning,197_6,T,irq,,"So yeh ek garam jagah hai, dil ke aas-paas mehsoos ho raha hai. Aur dil mei kya hai, aur tum uspe dhyan dete ho, tumhare dil mein us jagah par? Kya Kya paoge? Kaisi cheez?"
7,"Yes, it's just really just a compressing feeling. ",symp/reasoning,197_7,P,id,,"Haan, yeh toh sirf ek compressing ki feeling hai."
8,"I noticed that you have been saying it when you talked about your feelings. And I would like to suggest if you can say instead of being it, and see what happens in your body so go ahead",routine,197_8,T,id,,"Maine dekha hai ki tum apne feelings ki baat karte ho tab tum yehi bol rahe ho. Aur main chahunga ki tum kah sako ki wah isse behtar ho sakti hai, apne shareer mein kya ho raha hai dekho, toh ab jao aur dekho kya hota hai."
9,"You actually want me to say, okay, yes. My chest feels very tight. I feel very frustrated, angry, angry.",symp/reasoning,197_9,P,id,,"Tum sach mein mujhse yeh kehna chahte hai, thik hai, haan. Meri chaati kaafi tang lag rahi hai. Main kaafi pareshaan, gussa, gussa mehsoos kar raha hu."
10,"So that's what's coming up frustration, anger. So what are you doing this moment with your anger as you said to me right here to chest this moment?",symp/reasoning,197_10,T,irq,,Iss liye frustration aur gussa aane wale hai. Toh abhi tum kya kar rahe ho apne gusse ke saath? Jaise ki tumne mujhe yahaan bataaya ki click this moment?
11,just accepting it,routine,197_11,P,id,,बस इसे स्वीक
12,"once you accept that anger inside you, what else do you do with that anger having accepted?",routine,197_12,T,irq,,"ek baar tum apne andar ke gussa ko svikar kar lete ho, toh us gusse ke saath aur kya karte ho jab tumne use svikar kar liya hai?"
13,it's it's just noticing you're saying it again.,routine,197_13,P,id,,Ye bas dhyaan hai ki tum phirse bol rahe ho.
14,"Use the word Hi. It's a thing that to acknowledge this is, you know, something out there, we do a lot Something very strong. So it's a safe way to put it. But if you say I feel angry,",routine,197_14,T,id,,"Hi. This is used to acknowledge that there is, you know, something out there, which can be very strong. It's a safe way to put it. But if you say I feel angry,"
15,I feel angry.,routine,197_15,P,id,,Mujhe gussa lag raha hai.
16,But who do you feel angry at?,symp/reasoning,197_16,T,irq,,Par tum kisko gussa mehsoos karte ho?
17,My ex husband,symp/reasoning,197_17,P,id,,Merā purānā pati
18,You ex husband?,routine,197_18,T,crq,,Tumhara ex husband?
19,"Hmm, yup",inactive,197_19,P,cd,,"Hmm, haan"
