,Utterance,Sub topic,ID,Type,Dialogue_Act,Emotion,Transliterated
0,"Okay, thanks for asking. I understand you've been having some difficulties that have facilitated you come into our agency.",inactive,88_0,T,gt,0.0,"Thik, thanks for invading. Mujhe pata hai ki aapko kuch mushkilo ka saamana kar raha hai jo aapko hamare agency mein aane ka mauka diya hai."
1,"Yeah. Well, I mean, I've been drinking a lot more than usual, but it's kind of just part of my life. But I don't know, I think there is an increase. So it's, that's worrying me a little bit.",symp/reasoning,88_1,P,id,-2.0,"Haan. Toh, meri baat maano, main normally se zyada pee raha hoon, par yeh meri zindagi ka hissa hai. Lekin main nahi jaanta, main soch raha hoon ki badhiya hai. Toh, yeh meri chinta zara sa bada rahi hai."
2,"so you feel like you're, you're drinking more than usual. How much are you drinking now?",symp/reasoning,88_2,T,cd,0.0,"Toh kya tumhe aisa lagta hai ki tum, tumhaare usool se zyada pee raha ho. Ab tum kitna peete ho?"
3,"I'm gonna go out with my friends a couple nights a week. Then about once or so we go out with my co workers. So yeah, maybe three, four nights a week,",symp/reasoning,88_3,P,id,0.0,"Mai apne doston ke saath kuch raaton mei bahar jaane wala hoon. Phir ek ya do baar mere saath mere co workers ke saath bhi bahar jaate hain. Toh haan, shayad teen ya chaar raaton mei."
4,three or four nights a week? ,routine,88_4,T,crq,0.0,Teen teen char raat bhai chaar hafte mein?
5,Yeah,routine,88_5,P,cd,0.0,Haan
6,And how much are you drinking each time to go?,routine,88_6,T,irq,0.0,Aur tum kitne paimane pi rahe ho jab tum ja rahe ho?
7,"Um, you know, kind of depends on who I'm with. But usually when I go out my friends on the weekend, I'll stay for a pretty long time. I mean, I think the problem is when we're going out during the week with my co workers, you know, I'll stay longer than I want to, and then when I have to get up in the morning, it's kind of like I should have gone check out a little earlier, but now they're all out with me. So when I get there, they understand.",story,88_7,P,id,0.0,"You know, kind of depends on who I'm with. But usually when I go out with my friends on the weekend, I'll stay for a pretty long time. I mean, I think the problem is when we're going out during the week with my co-workers, you know, I'll stay longer than I want to, and then when I have to get up in the morning, it's like I should have left a little earlier, but now they're all with me. So when I arrive, they get it."
8,"Alright, so do you know how much alcohol you consume in the time period. Do you know how much you're actually drinking?",routine,88_8,T,irq,0.0,"Theek, kya tumhe pata hai ki tum kitna alcohol pee rahe ho us samay mein? Kya tumhe pata hai ki tum kitna sahi mein pite ho?"
9,"Each night we approximately I used to drink, like, maybe two beers an hour, but they really like to party so and I was trying to keep up with him. So, friends, yeah. And so I've been drinking like a shot with the beers I have. So maybe like three or four drinks an hour.",symp/reasoning,88_9,P,id,0.0,"Har raat hum lagbhag do beer ek ghante mein peeta hoon, lekin woh sach mein party karna pasand karte hain aur main uske saath catch up karne ki koshish kar raha tha. Toh yaar, haan. Aur isi tarah main apne beers ke saath ek shot bhi peeta raha hoon. Kuchh ek ya do drink ek ghante mein."
10,So do you find that you need to drink more to get the desired effect?,routine,88_10,T,irq,0.0,Kya aapko lagta hai ki aapko zyada peena chahiye taaki aapko maanguitava prabhav mil sake?
11,"Um, yeah, you know, everyone else is getting to that level. So I feel like I need to keep up with them. And usually before I would get that from maybe one or two drinks. So now, I've been working a little bit more, I think,to get there. ",routine,88_11,P,id,0.0,"Haan, haan, tu jaanta hai, sab log uss level par pahunch rahe hain. Toh maine mahsus kiya hai ki mujhe bhi unke sath chalna hai. Aur aksar pehle main shayad ek ya do drink se woh haalat pahunch jaata tha. Lekin ab, maine thoda kaam zyada kiya hai, mujhe lagta hai, woh haalat haasil karne ke liye."
12,Have you made any attempts to cut down on consumption?,routine,88_12,T,irq,0.0,Kya aapne koshish ki hai apni khapat kam karne ki?
13,"You know, at the beginning of the week, I'll kind of say I'm only going to go out twice this week. But then they invite me and I'm like, Well, I don't want to miss out or my, my friends, you know, it's my show my social time during the week, so so I usually go, they don't really stick to the plan. So that's kind of been a little frustrating, but I know it's still good.",story,88_13,P,id,0.0,"Tu jaanta hai, hafte ki shuruaat mein main kehta hu ki main sirf do baar bahar jaunga is hafte. Lekin phir woh mujhe invite karte hain aur main sochta hu, achha, mujhe miss nahi karna hai aur mera, mere doston ke saath social time hota hai hafte mein, toh usually main jaata hu, woh plan ko zyaada follow nahi karte. Toh thoda frustrating hai, lekin mujhe pata hai ki yeh abhi bhi accha hai."
14,"It's okay. So, I want to talk about the time you spend using alcohol. Are you are you okay with the amount of time you mentioned that you're using for longer periods? But are you okay with? Or is that something that's distressing you?",routine,88_14,T,irq,0.0,"ठीक है। इसलिए, मैं अल्कोहल का उपयोग करने में आपके खर्च हुए समय के बारे में बात करना चाहता हूँ। क्या आपको वह समय ठीक लगता है जो आपने लंबे समय तक इस्तेमाल करने का उल्लेख किया है? लेकिन क्या आपको यह ठीक"
15,"Um, I think I could probably be doing better things with my time, but it's not a huge problem. I think a lot of people do it. So you know.",routine,88_15,P,id,0.0,"I think kafi basic hogya hai ki I should make more productive use of my time, but it's not that big of an issue. Bahut log toh aisa hi karte hai. You know na."
16,Do you find that you have a craving for alcohol?,routine,88_16,T,yq,0.0,क्या आपको यह अनुभव होता है कि आपको शराब के ल
