Utterance,Type,Dialogue Act
Ashun tahole kotha boli kivabe apani nijekete kete fellen.,T,id
Eta sposto na?,P,cd
Tahole ki hol? Prothome bolun apani ki korechhen. Hubhu,T,irq
Ami ki korchi tar mane ki?,P,crq
"Achha, mane apani nijekete kothay ketechen? Ami jani tumi bolechhile tomar sathe kata.",T,cd
Barabare'r moto eki rokom,P,id
Tomar bahu?,T,crq
Hyan.,P,op
Apani nijekete ki diye ketechen?,T,irq
Ekti rejar.,P,id
Ami ki dekhte pari?,T,irq
Apani eta dekhte chan?,P,crq
Hyan.,T,cd
"Thik achhe, kintu somosyar ekta onsho hol jeiguli gobhirbhabe dekhte jemon apanar ullekhjoggo dag ache. Tai amar poramorsho bhobishyote jodi apani eti koren je apani eti bondho rakhar jonno etite kichhu dhore bandaid rakho. Tobe kivabe eti ghotechhilo se somporke kotha bola jak. Prothomei bolo tumi amake phone bolchhile je tumi marte chao? Kintu apani korechhen? Eta ki attohatyar chesta chhilo? Athoba apani ki mone koren je amra nijekete htya korar kotha bhabe bhochhi ba nijekete htya korate chai ba marte chaichi kebol ekta kata chhilo?",T,irq
Ami ki attohatyar kotha bhochhilam? Ami bhebhechhilam apani amake sahayyo korben kintu apani korenni. Je bishoye ami kotha bolte chai. Ami kotha bolte chai kivabe amar jibon bhalo jachhe na ebong apani amake sahayyo korchen na ebong amar sahayyo puroshon hole apani amake upolobdho na.,P,id
"Thik achhe, tai chalun. Thik achhe, tai mone hochhe ami ekto na hoi ki ami apanar sathe upolobdho chhilam na nijekete katar sathe sambhokito har.",T,id
Prothombar jokhon ami tomarke phone korechhilam tokhon mone hochhilo tumi amake sahayyo korbe. Tumi amake sahayyo korbe na. Tai tokhon ami bhebhechhilam je ami ki jahannamer pashapashi shomosto pothe jete pari ebong tai ami nijekete eto ghorar moto kete felechi.,P,id
