Utterance,Type,Dialogue Act
"Robert Smith, amake dekhte asar jonno dhonnyobad, ami Doctor Stanley. Ami ekhane kaj kora doctorder ekjon. Spashtotai amra ja boli ta amader ebong doler moddhe goponio je ami ekjon notun GPer sathe kaj kori jini amake apnar sathe dekha korte bolchen. Ami shunechi apnar abashon niye kichu somossha hoyeche. Apni ki amake eti somporko ekto bote chan?",T,irq
"Haan, ami sob dhonnoye porechi. Mane, apni amake kothay shuru korte chan? Pratibeshi police. Amar rostay lokera amar upor guptochorvritti korche. Apni janen, tader keu eta sweekar kore na. Kintu ami je apni janen, ami apnar ekta protibedon niye kotha bolte dekhechi ebong rosta jureo.",P,id
"Apni janen, tahole ki, kohon jeigulo bhul hote shuru koreche?",T,irq
"Ami jani na. Ami bolte chachchi, apnake tader bhalo vabe jijnasha korte hobe, jokhon tara sotti bhabe shuru koreche, jemon tara chai je tara amake rosta theke ber kore dite chai. Ami mone kori eta koyek mash age chhilo. Mash koyek mash dhore cholche.",P,id
Apni ki mone koren je tara apnake rostai ber korte chai?,T,irq
"Well, eta hoirooni. Eta amar upor guptochorvritti amar, amar bari te amar phone-e bag rakha. Apni janen, ebong je, apni janen, je prothome ami bhebechilam ami eti shunte pachhi na. Kintu ekhon tara janen je ami janina je tara, apni janen, janala diye amar somporko kotha bole. Apni janen, ami ki korchhi ta niye kotha bolchi. Ami jani ami jani. Ami jani je eta korchhen. Apni janen, jokhon ami amar shador darjar mohilake saat number-e rekhe jai, se sob somoy sekhane thake. Apni ki janen, ami kothay jachhi, ami ki korchhi se dekhe.",P,id
Apni keno mone koren tara eta korchhe?,T,irq
"Achha, ami jani na. Tara shudhu ami jani na ami ki mone kori tara amake out korte chai. Ami mone kori tara, ami mone kori tara amake poriksha korche. Ebong tara chesta korche, tara khujte ber kore dharar chesta korche je tara amake mooloto koto ta dhakka dite pare. Eta sob kichu, kichu porikshaar ongsho. Ami kiser jonno janate chai, apni janen, apnake tader jijnasha korte hobe. Ami policeke bar bar bolechi setai. Ami take bolechilam keno tumi amake eso beshi proshno korchho? Keno apni shudhu tader sathe kotha bolen na?",P,id
Apni bolechen je apnar phone-e click kora hochhe ki chhilo?,T,irq
"Ekti landline. Haan haan. Keu amake ring kore ba ami saat theke 10 second er moddhe kauke ring kori. Ami click kori, click kori, click kori, click kori, protibar click kori.",P,id
