Utterance,Type,Dialogue Act
So tomar bed ready korechi. That's great. Khub bhalo. Kivabe ghum theke uthle?,T,irq
"Haan, ek-din dui-din kaj korlo, kintu pore bijli chole geche. Tai amar alarm clock bondho hoye geche. Ar phirei ghumiye porlam.",P,id
"Mone hochhilo, eto hote pare. Tai ami tomake ei sign banalam. Ei tomake remind korbe alarm set korar jonno.",T,id
"Oh, ami park-e giye gesi.",P,id
Se kivabe chhilo?,T,crq
"Bhalo chhilo na. Amar notun kaporer dorkar chhilo na, ar ami khub uncomfortable feel korlam. Eta khub kathin, bhai. Ar ki fayda?",P,cd
"Ei jonnoi tomake ei niechhi. Tumi tao murkho kapra hamper-e rakhte parbe. Ar tomar sudhu notun kapra, tader upore fold kore ei bin-e rakhte parbe.",T,id
Bhalo. Thik ache.,P,ack
"Well, prothom kotha amra kotha hoyechhilo je tomake shower neoya jay na, tai ami tomake ei hygiene basket nie ashlam. Mone rakho, jodi overwhelmed feel koro, ei basket-ti bed-er pashe thakle, tomake mone hobe shower neoya uchit, ar tomake eto kichu nie ghurte o jete paro.",T,id
Mone hochhe amar ekta shower dorkar. Ami jete chai.,P,id
"Shuncho bhalo. Ami tomake ekta calendar up kore dibo, ar bed-er pashe ei chobi-ti nie dibo. Ar ekti container nie ashlam, jekhane tomake tomar medicine gulo rakhbe. Jodi tomar kichu diner jonno fill up koro, ar bed-er pashe ekta glass pani nie rakho. Eto korle mone hobe tomar medicine neoya uchit.",T,id
Ami ekhon sei shower nebo.,P,id
Shuni bhalo. Ami tomake tomar calendar e rekhe dibo.,T,id
