Utterance,Type,Dialogue Act
"Hi, apni aaj kemon achen?",T,gt
"Ami bhalo achi. Kintu, um, visual hoyeche, apni janen, amra amar anupreranar moto kaj korbo. Nishchit. Dhoroner, eta je dhoroner sambandhit. Um, tai ami school-e achi. Ebong proti koyek shaptah-e amader lekhar moto kagazpatra thake. Ebong ami jani ami jani ami ki jani ami eta korte pari. Eta thik asle niche bose eta korchen.",P,"gt, id"
Thik ache amake kagazpatra sambhobhe bolben.,T,irq
"Well, tara sadharanot proyo panch pustha dirgho hoy. Ebong ami shudhu, ami shudhu eti takan ebong pochondo kori, eti panchti pustha. Kintu ami bhalo achi, thik ache, tai ami boste jai. Apni janen, amar computer-e. Ami bhalo achi, thik ache, ami reference shuru korchi. Tai ami pete, ami bhalo shuru. Ami reference kori. Kintu tarpor eti mato, ami sidetracked pete. Eto sohoje track kora. Ebong tarpor ami dui ghontar moto hatya shesh kori, news checking check korchi ebong tarpor eti amar phone-e jai ebong tarpor kheval recipe-guli dekchi ebong tarpor eti sotti bondho hoye jai ebong tarpor ami bujhte pari je ami kichui kori ni.",P,id
"Thik ache, tai, tomar kache panch pusthar kagaz ache, tumi tate kaj korte baso. Apnar kache reference ache, apni sei onsh erotan nite paren tokhon mone hoy apni kichuta dure sare jachen.",T,crq
"Oh, boro somoy.",P,cd
Hyan. Thik ache. Ar ekto ghuraguri korar por ki hobe?,T,crq
"Ami ete bhirto hoi. Ebong tarpor ami bhalo, bhalo, apni janen, ami itimodhye apni janen, eti itimodhye 90 bar ami agamikal eti korchhi. Ebong tarpor, apni janen, hoy agamikal ghote na ba eki jinish ghote. Ebong eti thik ebong tarpor ami dan prante chute shesh, apni janen, je agamikal karon ebong eti panchti pustha sampoorna kora. Eti amar jonno sotti kothin.",P,cd
Tai apni somoy moto assignment shesh korchen. Tai bilomber protishruti.,T,crq
"Na, ami, ami eti sampoorna kori.",P,cd
Apnar kaj shesh?,T,crq
Eti shesh mohurte sob.,P,cd
Tai eti asli somoy jevabe bhenge jay ta apnar jonno bhalo kaj korche na.,T,crq
Hyan.,P,cd
Apni boro shesh mohurte eti korben na.,T,orq
"Na, mane, ami na karchhi. Mane, ami boser jonno somoy alada rekhechi. Ami bhalo achi, thik ache, apni janen, amra ei kagaje shuru korbo. Tarpor sidetrack. Ami TV dekchi. Ami phone-e kotha bolchi. Ami onno kono website-e achi.",P,od
"Tai ei kajguli jate apni kaj shuru korchhen ebong apni lekha shuru korchhar age, lekha shuru korchhar age reference sambhobheo jorito thake. Apni ekta email chek bolchen.",T,crq
Hyan.,P,cd
Ebong aparikalpit chhoto kriyakalap-gulir moto onnyo dhuronor shobd.,T,crq
"Hyan. Ami bolte chachchi, emon chhoto jinish ache ja amar monoyog dhore rakhe kintu amar monoyog jekhane jetey hobe ta noy.",P,cd
Eguli bisheshbhave akarshak kriyakalap noy jemon apnake kichu korte hobe. Sei mohurte na.,T,crq
"Na mane, ami takalam apni janen, thik ami ekta reference shuru korechi ebong tarpor ei nibondhoti kar kache durdanto dekhache apni ei nibondhoti janen poroborti jinis ami jani ami octopus ba onyo kichu niye gôbeshôna korchi.",P,cd
"Tai bibhranter moto,",T,orq
Hyāṁ kājēra mōtō bibhrānta.,P,od
Ebong tarpor eto ekta mohurto achhe jokhon apni nijeke dhôrben ebong bujhte parben je apni sotti ei likhte shurukoreni.,T,crq
"Hyāṁ, kintu eta dui ghônta deri môto",P,cd
"Onek deri hoye geche. Hyāṁ, tai apni sekhane somoy bôy kôrchhen. Thik achhe. Tai apnar kichu bhinno mātrar kôrjokôlāp achhe. Ekhanē apnar kache kagaz achhe, ja dekhe mône hochhe apni thik likhchen kintu apni hôyto lekhar jonne khub beshi anuprânit non.",T,crq
"Thik achhe,",P,cd
Kintu apni reference-guli shômpônn kôrchhen bole mône hochhe. Thik achhe.,T,crq
"Hyāṁ, mane, ami kichu reference korechi. Thik achhe.",P,cd
"Apni upadan songroho kôrun, ebong tarpor lekhar onsho. Eta kôṭhin onsho. Ebong tarpor apni ekti mohurto achhe jokhon apni nijekẏe dhôrben ebong bujhte parben je apni sotti likhte shurukôrenni.",T,crq
"Ami bôlte chhachchi, eguli emon kichu noi ja ami ānondēr jonne laphiẏē porrchi eti kebal bilmôbita kôrār môto kichu. Tai amar kagaz kôrte hobe na. Ebong ami mône kôri na je ami apni janen, ami pôchhôndô kôri na, ôh, ami āmākē āmār imēla chēk kôrtē hōbe tai āmākē āmār kāgazapôtr kôrtē hōbe na. Eta śuddhu, ôh, ami āmār imēla chēk kôra ûcit. Ôh, ami āmār phōn chēk kôra ûcit. Ôh, ami eta kôrini ôh, ami kichukhôṇēr madhyē eta dēkhini.",P,cd
Kintu ei achran-guli ekhono uddeśya pūrṇa kôre tārā kāgazṭi likhate bilmôb kôre.,T,crq
"Hyāṁ, eta sôtyi.",P,cd
"Apni ek muhurter madhyē eti sambôrke purupuri sôchētan nāo hôte pāren. Kintu tarpor apni je dhôrône sôchētan hôye pore je je uddeśya je ei achran shômpônn je tārā apnāke likhā thēkā rākha. Thik achhe. Sutôrāṁ kāgazṭi ebōṁ kārjôkôlāpēr lekhā, eti êmon êkṭi achran je êmon kichu je apni sôtyi ūnmukh, apni janen, sambôrke chinṭā ebōṁ bôsṭôtā kichu stara āche.",T,crq
"Thik achhe, ei nôntu ṭibhi shō ache je tārā sobēmātô ekṭi nôtun sijana shuru kôreche. Ebong ami eta shôb rēkôrḍ kôrechi, 24 pôrber mōt. Kintu dekhar sômôye pāchchi nā. Kintu ami sôtyi, apni janen, ami pratham sijana dēkhechi ami etē khub āgrôhī. Ebong ami parērti dēkhar jôno ôpekkhā kôrtē pārchi nā. Ami onumôn kôri je eti hôbe, ami onumôn kôri je ei mōhurte āmāke sôtyi kī khushi kôre tōle.",P,cd
Tai apni ei ṭēlibhijana ônusthānṭi shômôrke ebong apni kibhābē pôrbōgli itihēyē rēkôrḍ kôrechen tā niye apni uttējit. Ebong hôtelē apni sômôy khujte pāôār ēkṭi kôrôṇa hôle ei kāgazṭi likhār duṭi onshēr mōdhȧ apni je sômoyṭi bôy kôrchhen.,T,crq
"Thik. Ami bôlte chāchchhi, ei kāgazṭi āmāke eiṭir chēẏẏē onēk beshi sômoy nēcche.",P,cd
"Thik. Tai asun ei chestā kôra jak. Apni jōkhôn kāgazē likhben, apni sôtyi eiṭi likhchhen. Lēkhār onshō, prastutir onshō nōy, kintu lēkhār onshō shôb śēṣē. Thik achhe, eiṭi niṛdhārōt hōẏār age'r rātē eiṭi kôrā hōchchhe. Thik achhe. Tai ami ekhānē kôẏēkaṭi bhinn achran-gōtō kôra tē chai. Thik achhe. Ebōṁ eiṭigulō anuprērṇā niẏē kôrār age' āmra yē kichu kôrechi tār anurūpa hōtē pārē. Ekti hôla ami mōnē kôri je eiṭi sahāẏak hōtē pārē ebōṁ ami chai apni āmāke janān je ami ekhānē bhāngār jônē āchi ki na jōdi eiṭi ēkti pāñca pṛṣṭhār kāgaz hôy jātē eiṭi ēk rātēr bēṣi hôẏē. Kārôṇ ðān ekhōn, kārjōkari bhābē, ônath atô apnī gôt rātē ki kôrchhēn ônēk, thik achhe. Lāika ēra mōrē ārāmadayaka gōṭi hôbē, udāharaṇasvarūpa, ēk pṛṣṭhā likhate apnar kôtôkṣṇa lāgē?",T,orq
"Ek ghônta, dêṛḍa ghônta?",P,crq
Tahole prai ek ghonta theke dedh ghonta? Aponi ekoti pritha shompurno korte paren. Edit proof read?,T,"cd, yq"
Haan.,P,ack
"Thik achhe. Tai prai pach din somoy lagbe. Puro paper ti shompurno korar jonno, aponi jodi protidin dedh ghonta koren, ek ghonta theke ek ghonta ami chek korini. Thik achhe. Kintu kagojpotro baraddo korar somoy theke apanar kache koto somoy achhe?",T,crq
"Tara amader prai dedh shoptaho somoy dey,",P,cd
Amar dharona prai 10 din. Haan.,T,crq
"Um, amar onumon prai chhoyta baje, karon tokhon ami itimodhe kaj theke bari khawa shesh korechi. Ebong ami D doroner itimodhe korechi. Chhoyta baje mone hoy k",P,cdd
"Besh bhalo somoy. Sutro, aponi jodi bibhranti chhadaei kaj korte paren, tahole ei ek prithar sahaye aponi prai 730 er moddhe shesh hoye jaben.",T,irq
"Haan, ki ek pritha thik achhe, tai",P,id
"Kon bibhranti nei. Matro ek pata. Haan. Thik achhe. To cholun sei porbgulor kotha boli, je TV porbgulo aponi dekhte chan. Thik achhe? Tara koto din,",T,gc
"Tara ek ghonta theke ek ghonta, thik achhe?",P,gc
"Ebong ekbar jokhon aponi seguli dekhte paren, aponi dekhar moddhe sarbadhik upobhog paben, jemon kono bibhranti nei, ami onumon kori,",T,gc
"Ami prai atta baje karon ami jokhon aponi janen, bichanar jonno prastut hote shuru ebong sotti shithil korte shuru kora shuru. Ebong, aponi janen, totokkhon aamar swamir bari ebong amra eksathe eti dekhte pari. Tini o show bhalobasen.",P,gc
"Thik achhe. Tai atta baje, tai apanar jonno sarbadhik bhalo somoy",T,gc
"Bibahito. Ebong eti ekta mohon,",P,gc
"Aponi janen, eti apanar jonno ekta durdanto preron. Ebong ami eti ekta prerona hisabe bhabar chesta korte chai. Purashkar er moto. Thik achhe, tai ami chai aponi chesta koren jokhon aponi shuru korben, jemon aponi jokhon ei shomosto kagojpotro baraddo paben jokhon pach, pach prithar kagojpotro, pachti raat bache koreun ja aponi ete kaj korte chan. Thik achhe, eti sombar theke shukrobar hote pare ba apanar jonno ja kichu kaj kore.",T,ci
Thik achhe.,P,ack
"Thik achhe, porishkarbhabe 10 diner windowr moddhe, jodio, thik achhe, tai 10 diner windowr moddhe pach din, apanake ki chalu korte hobe ebong tarpor sei somoyti nirdharon korte hobe jokhon aponi shuru korte jacchen tokhon chhoyta. Karon eti apanar kaj korar jonno ekta bhalo somoy.",T,ci
Tai asun sei somporke bhabe theki jokhon amar mone hoy ami track theke sare jacchi.,P,crq
"Haan, eta nischoit.",T,cd
Haan. Ebong thik sheshe chap dite hobe na.,P,crq
"Haan. Aar majhkhaane somoy nosto korben na. Haan. Thik. Je, je shotti-i aaro somoy khachhe ebong apanar sho lage.",T,cd
Ami dekchi apani kothay jachchen. Ekebare.,P,ack
"Eta ki apanar kache bojhhar moto bojhaye,",T,yq
"Haan, apani janen, eti amake sahayyo koreche ebong apanar dwara somporkhoheen jinisguli korte pareni, jodi ami ei pepereti sompurno kori, tobe ei prothomtir pashe amar anusthanati dekhar darar nei.",P,"ack, cd"
"Ebong ami mone kori eti eti somporkhe chintar eti sahayyo upay. Ebong je, je eti jnanio angsh. Tai ei eti ek dhorno eti ekta acharangot kaushol karon amra atite ei somporkhe kotha bolechhi, tai na? Eti acharangot kaushol, jnanio tukro, jokhon apani nijekete ghure berachhen, ami mone kori apanake eti shanakht korte hobe. Ebong apani ami mone kori apani kichu srotor sachetanota je ghotoche. Haan, apanake eti shanakht korte hobe ebong bolte hobe, ami amar sho dekhte chai, ebong amra etir jonno opexa korchhi.",T,gc
Thik achhe.,P,ack
"Ebong eti kagojer modhye jawar jonno apanar preronao. Ebong tarpor apani janen, jokhon aṭṭa bajhe, thik achhe.",T,orq
"Thik achhe, eti ekṭi porikolpona moto shonachchhe. Thik achhe.",P,od
