Utterance,Type,Dialogue Act
Aajke kemon achho?,T,gt
Durdanto.,P,gt
Durdanto. Ami thik korchi. Jijnyasa korar jonno dhonobad. Ami dekhte pachchi je apni ekta release shakshar korechen. Tai ami tomar mayer sathe kotha bolte pari ebong ami dekhte pachchi je se aaj ekhane esheche.,T,id
"Hyan, she amake bhitor e niye esheche.",P,id
Amake bolun ki hochhe.,T,irq
"Ah, she amar sathe khushi noy. Na.",P,id
Jemon apni dhumpan koren. Hyan. Kintu,T,gc
"Hyan, eta.",P,gc
"Hyan, apni tai chintit. Kichhu ta kintu",T,id
"Hyan, hyan, ami amar mayer preme porechi, apni janen.",P,id
Apni ki dhumpan bariro udvigno?,T,irq
Shudhu agacha? Kono byaparoi na. Sotti? Ami jani na keno tar eto mon kharap.,P,id
Se eta niye birakt.,T,crq
"Hyan, hyan. Tini eta somoyer jonno amar upor hoyeche. Tai",P,op
"Onyo kon drag ba alcohol ba apni seban koren kichu ache ki? Hyan bhalo,",T,irq
Ami maje maje kichu somoy pan korer jonno pan kori. Hyan. Kintu,P,id
Se kichu niye udvigno noy?,T,crq
"Acha, mane,",P,gc
Apni ki alcohol ba ganja niye udvigno?,T,irq
Na,P,on
"Khawar amar dharon apni sambhabot janen, somporko koyekti prashna jijnasha korun",T,gc
"Hyan, oboshoi. Thik achhe.",P,ack
Apni ki amake bolte paren je apni prathom kkhon eti byabohar korechen kibhabe egulo hoyeche?,T,irq
"Ami mone kori eti amar uchchobidyaloy er ditio bochor chhilo. Amar bondhura amake eti offer korechilo. Tai akhon, ami kichuta udveg anubhav korchilam. Eti shuru korar bishoye kichu udveg, kintu tai chesta kore eti amake durdanto anubhav korche. Tai amar dushchinta dur hoyeche. Tai",P,id
Eti udveg dur korche. Hyan. Ero age apni kotokkhon dushchintaay chhilen?,T,irq
"Hyan. Sambhabot amar koishore. Bochor duyek. Koyek bochor. Hyan. Eti pagol kichu chhilo na, kintu eti amar jibon ektu prabhavit. Tai ami mone kori eti amake onek bhalo bodo kore je akhon sob bhalo. Sei anubhuti theke mukti pan.",P,id
Tai apni shuru korechen. Apni ganja shuru korechen karon ekjon bondhu apnake protsab diyechhe ebong apni udvigno. Hyan. Ebong tarpor kibhabe somporko tarpor theke,T,crq
"Akhon, ami ar sei udveg anubhav korte chai na. Ami kon bori ba kichu nite chai na. Tai ami chole gese ebong ami amake durdanto bodo korechi. Thik achhe. Ami mone kori eti mohan.",P,cd
Apni sheshbar kkhon byabohar korechilen,T,irq
Aaj sokale,P,id
Aaj sokale?,T,crq
Hyan. Hyan.,P,op
Bishesh kore emon kichu ki ghotecche ja amra mone kori apnar maa ke aaj anate anupranit koreche.,T,irq
Na,P,on
Tahole apni ki ghotate chan? Apnar lakhyo hobe,T,irq
Amake khushi koro kintu ami sotti thamte chai na,P,id
Take khushi karoar jonno apnake thamate hobe?,T,crq
Ami onumon kintu,P,cd
Se chai tumiyo ekta chakri koro.,T,crq
"Hyan, adarshobhabe se amake chai. Hyan.",P,cd
Karmoshthan ki drug screening joddhit?,T,irq
Sambhabot tader kichu kichu kichu jodi ami hyan chesta korechhilam. Kono somoyi sotti kichu sondhan korer jonno ekta boro prochesta korechhe.,P,id
Ei mohorte eti somporko chinno koro na.,T,crq
"Oh, ami bolte chachchi, ami protidin ekta notun dinke mohanotar jonno ekta notun suyog mone kori ebong eti ekhon porjonto dordanto cholche. Tai.",P,cd
Ami Marijuana boshorokhe koyekti prashno jijnosha korte chai.,T,id
Ha.,P,op
Aponi ki kokhono kata korar chesta korechhen?,T,irq
Na.,P,on
Aponi ki kokhono beshi poriman-e grôhon korechhen ebong aponi eti dirgho somoy-er jonno chan?,T,irq
"Haan, ami bolte chachchi, aponi janen, kokhono kokhono ami sadharanot amar cheye beshi dhoompan korbo. Ami hang out korchi ba aponi sei udveger din-guli janen ba aro kharap dhoompan.",P,id
Ganja theke punoruddhar boshorokhe aponi koto ta somoy bhy koren,T,irq
"Somoy ekta bhalo poriman. Haan, ami eta bhalobashi. Tai ami kichu korté bhalobashi.",P,id
Eti apnar jiboner ekta boro ongsho.,T,crq
"Haan, tai bolun. Ami eta korte chai. Haan. Tai.",P,cd
Eta ki kon social somossa kothay nie geshe?,T,irq
"Ami amar bondhuder sathe amar cheye ekta beshi adda ditam, kintu amar kichu asha ache, ami kori. Oti-rokkha.",P,id
Marijuana boshorokhe apni eto guruttopurno kajkolap shedhe diyechen,T,id
Eta amar guruttopurno kajkolap. Haan.,P,id
Aslei ki ganja boshorokhe kono kajkolap bipojjonok hoye uthechhe na?,T,irq
Ki môt?,P,crq
Ain-er probhabe driving er motoi ekhon?,T,cd
Haan.,P,op
Eta bipojjonok.,T,id
Ami bhalo achi.,P,id
"Sobai eta kore. Ekhon tomar ma, se aj tomake tariye diyechhe. Haan. Tini eshechilen jokhon tini chintito je apni Marijuana-er proshobe chilen.",T,id
"Shombhobotho kintu se etar sathe ekta ovashta ami onumon kori eta te ovashta noy kintu se sachetan kintu haan, se haan.",P,id
Apnar ki kono monoshsho shostir itihas ache?,T,irq
Shudhu kichu udvég.,P,id
Chikitsa somossa nie dushchinta?,T,crq
Na.,P,on
Apni ki laksho koren je apni jokhon boshorokh bôndho koren tokhon apnar sharirik lakshon ba udvég thake?,T,irq
Bhalo haan udvég e ami jokhon ami thama,P,id
Apni shobcheye dirgho ki jonno thamlen?,T,irq
"Shudhu pacchi ebong haan, ami protidin kotha boltam, tai sara dine matro koyek ghontar ghumiye chhichi.",P,id
Tai eto apnar jonno ekta protidiner kajkolap.,T,crq
"Haan, kichukshoner jonno emon hoyechhe. Haan. Goto koyek bochor ami koyek bochor bolbo. Haan.",P,cd
"Thik aache, Jacky. Ami jani je tomar ma chae tomi ekhane counseling kor. Apni eta khola achhen?",T,irq
"Ami sathe eta proyozon mone kori na. Kintu ami nishchit je ekbar ami ekhane theke chole gele se bolbe amake phire ashte hobe. Tai amra dekhabo, ami onumon.",P,id
"Thik aache haan, ami chesta korbo.",T,irq
Haan. Amra dekhabo.,P,ack
Thik aache. Ami apnake ekta casseroLe dekhar jonno niyôdito korbo ebong amra dekhabo je apnar prôthôm appointment er por eta kothay jay. Ami eta bhalo mone hoy?,T,crq
"Haan, haan.",P,op
Ami apnake dhônnobad janate chai amar prashner uttor dewar jonno ki ghôtochchhe ta amake bolun shohayok hoyechhe। Dhonnobad.,T,gt
